C,Penalty,Loss,Precision,Recall,F1 Score,Training Time,Prediction Time,Accuracy
0.074,l1,,0.8530903625774939,0.9011708672355626,0.8764717236054815,0.6263861656188965,0.0008337497711181641,0.872
0.075,l1,,0.8538924407672057,0.9011708672355626,0.8768948537221202,0.6699368953704834,0.0008687973022460938,0.8725
0.076,l1,,0.8544018058690744,0.9013693193093868,0.8772573635924674,0.6277129650115967,0.0007929801940917969,0.8729
0.077,l1,,0.8551269990592663,0.9019646755308593,0.8779215762024339,0.7275350093841553,0.0008671283721923828,0.8736
0.078,l1,,0.8556099397590361,0.9019646755308593,0.8781760216404212,0.7003159523010254,0.0007848739624023438,0.8739
0.079,l1,,0.856120527306968,0.9021631276046834,0.8785389892743259,0.6791338920593262,0.0008680820465087891,0.8743
0.08,l1,,0.8568464730290456,0.901567771383211,0.8786384295522677,0.691514253616333,0.0007727146148681641,0.8745
0.081,l1,,0.8571428571428571,0.9013693193093868,0.8786999419616947,0.6588430404663086,0.000782012939453125,0.8746
0.082,l1,,0.8576552765716443,0.901567771383211,0.8790634674922602,0.5676007270812988,0.0007941722869873047,0.875
0.083,l1,,0.8581680830972616,0.9017662234570352,0.8794271337333075,0.5449221134185791,0.0007910728454589844,0.8754
0.084,l1,,0.8582751462540102,0.9025600317523318,0.8798607080673245,0.6512269973754883,0.0008361339569091797,0.8758
0.085,l1,,0.858463861105869,0.902758483826156,0.8800541690849294,0.7363379001617432,0.0008518695831298828,0.876
0.086,l1,,0.8583286172420298,0.9029569358999802,0.8800773694390716,0.6605970859527588,0.0008227825164794922,0.876
0.087,l1,,0.858705904546312,0.9033538400476285,0.8804642166344294,0.5757770538330078,0.0008230209350585938,0.8764
0.088,l1,,0.8585972850678733,0.9037507441952768,0.8805955718843663,0.780123233795166,0.0008490085601806641,0.8765
0.089,l1,,0.8588390501319261,0.9043461004167493,0.881005316578057,0.5826220512390137,0.0008480548858642578,0.8769
0.09,l1,,0.8586772187676653,0.9043461004167493,0.8809201623815966,0.5606889724731445,0.0007989406585693359,0.8768
0.091,l1,,0.8590009425070688,0.9043461004167493,0.8810904872389791,1.0949690341949463,0.0018787384033203125,0.877
0.092,l1,,0.8595961502170221,0.903949196269101,0.881214935190559,0.7348742485046387,0.0009179115295410156,0.8772
0.093,l1,,0.8601662887377173,0.9033538400476285,0.8812312457651729,0.7368240356445312,0.0007739067077636719,0.8773
0.094,l1,,0.8607906184982032,0.9031553879738043,0.8814642649622312,0.7243521213531494,0.0007579326629638672,0.8776
0.095,l1,,0.8611742424242425,0.9023615796785076,0.8812869464095359,0.6108980178833008,0.0007901191711425781,0.8775
0.096,l1,,0.8609848484848485,0.9021631276046834,0.881093129179184,0.8009092807769775,0.0008308887481689453,0.8773
0.097,l1,,0.8617162341352529,0.902758483826156,0.8817600310137624,0.6171290874481201,0.0008490085601806641,0.878
0.098,l1,,0.8615530303030303,0.902758483826156,0.8816745808702394,0.6761441230773926,0.0007929801940917969,0.8779
0.099,l1,,0.861442362294151,0.9031553879738043,0.8818058515791513,0.8201901912689209,0.0009162425994873047,0.878
0.1,l1,,0.8612005302026131,0.9025600317523318,0.8813953488372093,0.8583078384399414,0.0008702278137207031,0.8776
0.101,l1,,0.8618470855412567,0.9037507441952768,0.882301656495205,0.6371750831604004,0.00078582763671875,0.8785
0.102,l1,,0.8618732261116367,0.903949196269101,0.8824099186361876,0.6286063194274902,0.0008313655853271484,0.8786
0.103,l1,,0.8617101778282255,0.903949196269101,0.8823244552058112,0.7027089595794678,0.0008380413055419922,0.8785
0.104,l1,,0.8618993567915247,0.9041476483429252,0.8825181598062954,0.9628200531005859,0.0008008480072021484,0.8787
0.105,l1,,0.8622255866767601,0.9041476483429252,0.8826891407536569,0.8022568225860596,0.0007750988006591797,0.8789
0.106,l1,,0.8625260367354668,0.903949196269101,0.8827519379844961,0.8567497730255127,0.0007832050323486328,0.879
0.107,l1,,0.8625260367354668,0.903949196269101,0.8827519379844961,0.7549822330474854,0.0008578300476074219,0.879
0.108,l1,,0.8628268283440698,0.9037507441952768,0.8828147717359699,0.9097251892089844,0.0007936954498291016,0.8791
0.109,l1,,0.8630422428490244,0.9041476483429252,0.8831168831168831,0.7088649272918701,0.0008387565612792969,0.8794
0.11,l1,,0.8633693386393785,0.9041476483429252,0.8832880961613029,0.8899281024932861,0.0008437633514404297,0.8796
0.111,l1,,0.8635071090047394,0.903949196269101,0.8832654644172969,0.8024649620056152,0.0008349418640136719,0.8796
0.112,l1,,0.8636449838801441,0.9037507441952768,0.8832428238944918,0.7449798583984375,0.0009028911590576172,0.8796
0.113,l1,,0.8638604474781949,0.9041476483429252,0.8835450402404732,0.66306471824646,0.0008392333984375,0.8799
0.114,l1,,0.8642139199696568,0.9043461004167493,0.8838246702870441,0.695645809173584,0.000782012939453125,0.8802
0.115,l1,,0.8642139199696568,0.9043461004167493,0.8838246702870441,0.7381308078765869,0.00078582763671875,0.8802
0.116,l1,,0.8645675265553869,0.9045445524905735,0.8841043545727864,0.7205989360809326,0.0012640953063964844,0.8805
0.117,l1,,0.8645932106959985,0.9047430045643977,0.8842125678820791,0.7288320064544678,0.0008370876312255859,0.8806
0.118,l1,,0.865049279757392,0.9057352649335185,0.8849248666989821,0.8436570167541504,0.0008199214935302734,0.8813
0.119,l1,,0.8649109511178477,0.9059337170073427,0.8849471745662499,0.9656760692596436,0.0007991790771484375,0.8813
0.12,l1,,0.8647727272727272,0.9061321690811669,0.8849694737862196,0.7712650299072266,0.0008368492126464844,0.8813
0.121,l1,,0.8646346081029913,0.9063306211549911,0.8849917643639184,0.932398796081543,0.0008199214935302734,0.8813
0.122,l1,,0.8644709445390877,0.9063306211549911,0.8849060259639605,1.0620801448822021,0.0007839202880859375,0.8812
0.123,l1,,0.8641438032166509,0.9063306211549911,0.8847345989926385,0.8186979293823242,0.0007979869842529297,0.881
0.124,l1,,0.8643330179754021,0.9065290732288153,0.8849283223556762,0.9032618999481201,0.0007963180541992188,0.8812
0.125,l1,,0.8644709445390877,0.9063306211549911,0.8849060259639605,0.6528832912445068,0.0008428096771240234,0.8812
0.126,l1,,0.8641180923542771,0.9061321690811669,0.8846265620459169,0.9534823894500732,0.0007991790771484375,0.8809
